# 669cef32-32b1-4908-a01e-e42e81793e43
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -2.2250136; 1.6697387; 3.0616359; 0.0122921; 3.1481926; 5.0148586
0.1996351; -2.2408994; 1.4719076; 3.0604119; 0.0160431; 3.4515795; -7.9129722
0.3992703; -2.2550328; 1.2750875; 3.0925057; 0.4869297; 2.9587136; -4.0455028
0.5989054; -2.2500883; 1.0744120; -3.0226986; 1.1343258; 2.6718415; -0.4853047
0.7985406; -2.1994397; 0.8805480; -2.7285844; 1.6780443; 2.6353310; -0.1381645
0.9981757; -2.0896511; 0.7146899; -2.3798471; 1.7417040; 2.6248437; -0.1381645
1.1978108; -1.9354480; 0.5892686; -2.1715784; 0.4185910; 2.6143143; 5.1629417
1.3974460; -1.7688275; 0.4809637; -2.1287898; 0.1476026; 2.9826244; 2.0557575
1.5970811; -1.5975543; 0.3780605; -2.0779841; 0.6297809; 3.1171865; -0.1933089
1.7967163; -1.4146631; 0.2977052; -1.8663449; 1.2448560; 3.1047816; -0.1933089
1.9963514; -1.2196501; 0.2592450; -1.6855549; 0.6155891; 3.0923270; 5.1082389
2.1959865; -1.0196614; 0.2455398; -1.6070151; 0.1883469; 3.4061789; 5.0673385
2.3956217; -0.8193690; 0.2395736; -1.6055103; -0.1118455; 3.6912453; 5.0267655
2.5952568; -0.6200927; 0.2310748; -1.6180763; -0.0141838; 3.9537742; 4.9865174
2.7948920; -0.4209079; 0.2218351; -1.6156168; 0.0099397; 4.1980112; 4.9465916
2.9945271; -0.2210314; 0.2129122; -1.6159758; -0.0124184; 4.4269996; 4.9069855
3.1941622; -0.0219138; 0.2037185; -1.6176212; -0.0041456; 4.6430097; 4.8676964
3.3937974; 0.1776205; 0.1943343; -1.6178166; 0.0000186; 4.8477897; 4.8287219
3.5934325; 0.3771688; 0.1849403; -1.6178825; -0.0006764; 5.0427206; 4.7900595
3.7930677; 0.5765744; 0.1755319; -1.6179822; -0.0001346; 5.2289157; 4.7517067
3.9927028; 0.7761031; 0.1661122; -1.6179426; 0.0002381; 5.4072890; 4.7136609
4.1923379; 0.9755492; 0.1567012; -1.6179792; -0.0006065; 5.5786019; 4.6759198
4.3919731; 1.1751055; 0.1472618; -1.6181626; -0.0010984; 5.7434967; -2.4067899
4.5916082; 1.3743364; 0.1377941; -1.6184114; -0.0015341; 5.6592221; -12.3845038
4.7912434; 1.5739745; 0.1282218; -1.6191479; -0.0058557; 5.2040399; -12.3687917
4.9908785; 1.7733952; 0.1184350; -1.6204506; -0.0033989; 4.7056923; -12.2117997
5.1905136; 1.9726187; 0.1085404; -1.6200199; 0.0077878; 4.1554460; -11.9161047
5.3901488; 2.1717898; 0.0987293; -1.6213096; -0.0267597; 3.5369457; -10.1374601
5.5897839; 2.3726824; 0.0879476; -1.6213580; 0.2401495; 2.9090201; -0.1683525
5.7894191; 2.5723845; 0.0896794; -1.4635824; 1.4293916; 2.8974437; -0.1683525
5.9890542; 2.7642693; 0.1406679; -1.1871877; 0.8173812; 2.8858208; 5.0258756
6.1886893; 2.9466877; 0.2222910; -1.1446276; 0.0098065; 3.2147542; 5.0927545
6.3883245; 3.1258661; 0.3071046; -1.0968971; 0.4893190; 3.5168210; -4.3076251
6.5879596; 3.2995538; 0.4077251; -0.9936802; 0.5290225; 3.2631463; -5.9763188
